Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J10,Conn_01x03_Pin,PinHeader_1x03_P1.00mm_Vertical_SMD_Pin1Left,119,-95,-90,bottom
J11,Conn_01x03_Pin,PinHeader_1x03_P1.00mm_Vertical_SMD_Pin1Left,123,-95,-90,bottom
J12,Conn_01x10_Pin,PinHeader_1x10_P1.00mm_Vertical_SMD_Pin1Left,122.5,-105,-90,bottom
J13,Conn_01x03_Pin,PinHeader_1x03_P1.00mm_Vertical_SMD_Pin1Left,119,-100,-90,bottom
J14,Conn_01x02_Pin,PinHeader_1x02_P1.00mm_Vertical_SMD_Pin1Left,127,-95,-90,bottom
J15,Conn_01x03_Pin,PinHeader_1x03_P1.00mm_Vertical_SMD_Pin1Left,131,-105,-90,bottom
C1,100n,C_0402_1005Metric,119.1,-86.5,90,top
C2,4.7u,C_1206_3216Metric,111.5,-113.5,180,top
C3,100n,C_0402_1005Metric,141.2,-101.4,0,top
C4,100n,C_0402_1005Metric,124.5,-113.5,-90,top
C5,100n,C_0402_1005Metric,138.5,-97.5,0,top
C6,100n,C_0402_1005Metric,129.52,-113.52,-90,top
C7,100n,C_0402_1005Metric,111.5,-102.75,180,top
C8,100n,C_0402_1005Metric,111.5,-110.25,180,top
C9,100n,C_0402_1005Metric,111.5,-95.75,180,top
C10,1u,C_0805_2012Metric,130.5,-69,90,top
C11,100n,C_0402_1005Metric,121.5,-66.4,0,top
C12,100n,C_0402_1005Metric,125.5,-113.5,-90,top
C13,100n,C_0402_1005Metric,138.5,-111,0,top
C14,100n,C_0402_1005Metric,111.5,-93.25,180,top
C15,100n,C_0402_1005Metric,120.9,-86.5,90,top
C16,4.7u,C_1206_3216Metric,111.5,-86.5,180,top
C17,100n,C_0402_1005Metric,131.6,-86.5,90,top
C18,4.7u,C_1206_3216Metric,138.5,-86.5,180,top
C19,100n,C_0402_1005Metric,133.5,-113.5,-90,top
C20,4.7u,C_1206_3216Metric,138.5,-113.5,0,top
C21,100n,C_0402_1005Metric,138.5,-100,0,top
C22,100n,C_0402_1005Metric,111.5,-99.75,180,top
C23,4.7u,C_1206_3216Metric,108,-99.3,0,top
C24,100n,C_0402_1005Metric,86.9,-101.05,-90,top
C25,100n,C_0402_1005Metric,84,-88.5,90,top
C26,100n,C_0402_1005Metric,79,-91.4,180,top
C27,100n,C_0402_1005Metric,79,-96,180,top
C28,100n,C_0402_1005Metric,91.52,-95.8,0,top
C29,100n,C_0402_1005Metric,91.5,-91.5,0,top
C30,100n,C_0402_1005Metric,85,-88.5,90,top
C31,100n,C_0402_1005Metric,85.9,-101.05,-90,top
C32,100n,C_0402_1005Metric,84.15,-79.575,90,top
C33,1u 25V,C_0402_1005Metric,88,-88.52,90,top
C34,1u 25V,C_0402_1005Metric,89,-88.5,90,top
C35,10u,C_1206_3216Metric,71.25,-98.5,90,top
C36,100n,C_0402_1005Metric,71.25,-101.3,0,top
